date,ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PR013
2013-10-22,EWZ US Equity,41.6819,42.1214,41.6412,42.0075,13329547
2013-10-23,EWZ US Equity,41.6005,41.6249,40.9249,40.9982,12635135
2013-10-24,EWZ US Equity,40.7947,40.8598,40.3632,40.6881,13872463
2013-10-25,EWZ US Equity,40.9412,41.0715,40.7377,40.8924,12462233
2013-10-28,EWZ US Equity,41.218,41.6088,41.1419,41.4581,13372670
2013-10-29,EWZ US Equity,41.4581,41.568,41.2505,41.4866,10764668
2013-10-30,EWZ US Equity,41.1528,41.5923,41.0715,41.454,11179440
2013-10-31,EWZ US Equity,41.5354,41.6412,40.754,40.8232,17842126
2013-11-01,EWZ US Equity,40.2168,40.6726,40.0784,40.3837,15166359
2013-11-04,EWZ US Equity,40.754,40.9331,40.6319,40.7133,13688700
2013-11-05,EWZ US Equity,39.9401,40.0459,39.4761,39.5494,19849024
2013-11-06,EWZ US Equity,39.6796,39.7366,39.3866,39.5494,13735058
2013-11-07,EWZ US Equity,39.7691,39.8098,38.4668,38.5157,16731153
2013-11-08,EWZ US Equity,38.2552,38.5157,37.6203,38.2715,24545247
2013-11-11,EWZ US Equity,38.2715,38.4424,37.9459,38.2145,8429039
2013-11-12,EWZ US Equity,38.011,38.1575,37.5552,37.718,17628378
2013-11-13,EWZ US Equity,37.5308,38.3202,37.5308,38.1901,14101891
2013-11-14,EWZ US Equity,38.475,39.2393,38.2796,39.0366,21231065
2013-11-15,EWZ US Equity,39.3866,39.7936,39.1831,39.5575,18309987
2013-11-18,EWZ US Equity,39.9645,40.5261,39.9075,40.111,16128825
2013-11-19,EWZ US Equity,40.2901,40.3552,39.2726,39.3866,19645262
2013-11-20,EWZ US Equity,39.5005,39.6552,38.6215,38.7436,13036134
2013-11-21,EWZ US Equity,38.711,38.9226,38.5645,38.6134,12434047
2013-11-22,EWZ US Equity,39.1587,39.5052,39.0203,39.175,18281809
2013-11-25,EWZ US Equity,39.0773,39.1587,38.4913,38.6296,9987957
2013-11-26,EWZ US Equity,38.3936,38.4668,38.0355,38.3122,12617090
2013-11-27,EWZ US Equity,38.3448,38.361,37.7913,37.8482,19891003
2013-11-28,EWZ US Equity,,,,,
2013-11-29,EWZ US Equity,38.0517,38.2959,37.9622,38.2145,6591075
2013-12-02,EWZ US Equity,37.6041,37.718,36.7901,36.8959,19111971
2013-12-03,EWZ US Equity,36.6762,37.0424,36.0576,36.3994,23814065
2013-12-04,EWZ US Equity,36.0413,36.3099,35.7239,36.2285,16302706
2013-12-05,EWZ US Equity,35.9355,36.6762,35.9273,36.318,15280205
2013-12-06,EWZ US Equity,36.7494,37.1076,36.5061,36.8064,12864227
2013-12-09,EWZ US Equity,37.0506,37.2378,36.9936,37.0506,8630519
2013-12-10,EWZ US Equity,37.132,37.2703,37.075,37.1727,7628045
2013-12-11,EWZ US Equity,36.7006,36.7494,35.9355,36.025,14996484
2013-12-12,EWZ US Equity,35.968,36.2692,35.675,36.1878,14169702
2013-12-13,EWZ US Equity,36.2773,36.375,35.9843,36.0901,8678731
2013-12-16,EWZ US Equity,36.3832,36.7331,36.2041,36.2041,10306512
2013-12-17,EWZ US Equity,36.5378,36.5378,36.0983,36.2529,22479590
2013-12-18,EWZ US Equity,36.2592,37.3067,35.5086,36.8613,17292668
2013-12-19,EWZ US Equity,36.2097,36.6468,35.9663,36.3416,15723256
2013-12-20,EWZ US Equity,36.0529,36.2262,35.6735,35.8055,14712928
2013-12-23,EWZ US Equity,36.2179,36.4076,36.1231,36.3746,9381196
2013-12-24,EWZ US Equity,36.3581,36.6056,36.2426,36.5808,8767630
2013-12-25,EWZ US Equity,,,,,
2013-12-26,EWZ US Equity,36.6056,36.6056,36.2262,36.2756,5553224
2013-12-27,EWZ US Equity,36.3994,36.8695,36.3994,36.8613,8988094
2013-12-30,EWZ US Equity,36.754,37.1087,36.4819,36.5973,9402844
2013-12-31,EWZ US Equity,36.6468,36.9767,36.5478,36.853,6281331
2014-01-01,EWZ US Equity,,,,,
2014-01-02,EWZ US Equity,35.9952,36.0777,35.4921,35.624,18194260
2014-01-03,EWZ US Equity,35.888,35.9127,35.4467,35.822,15316692
2014-01-06,EWZ US Equity,35.5498,35.69,35.3271,35.4013,10238599
2014-01-07,EWZ US Equity,36.02,36.0447,35.323,35.4013,10546606
2014-01-08,EWZ US Equity,35.4921,35.5416,34.9477,35.0632,11738394
2014-01-09,EWZ US Equity,34.8487,34.8899,34.2631,34.626,16682513
2014-01-10,EWZ US Equity,34.8322,35.3683,34.8157,35.2116,17411241
2014-01-13,EWZ US Equity,35.2611,35.4013,34.6466,34.8487,13253147
2014-01-14,EWZ US Equity,34.9889,35.2529,34.8652,35.1869,9552698
2014-01-15,EWZ US Equity,35.2529,35.5663,35.1663,35.1869,11674517
2014-01-16,EWZ US Equity,35.3106,35.4096,34.8735,34.9559,11184995
2014-01-17,EWZ US Equity,34.8405,34.9889,34.7085,34.8157,14281263
2014-01-20,EWZ US Equity,,,,,
2014-01-21,EWZ US Equity,34.56,34.7497,34.1476,34.4445,15861660
2014-01-22,EWZ US Equity,34.5353,34.8899,34.4611,34.8487,13901176
2014-01-23,EWZ US Equity,34.725,34.7745,33.5579,33.9744,18198639
2014-01-24,EWZ US Equity,33.265,33.2815,32.7908,32.9681,21403437
2014-01-27,EWZ US Equity,32.9434,33.2156,32.6217,32.9846,16483598
2014-01-28,EWZ US Equity,33.0506,33.2733,32.8774,33.0341,14348365
2014-01-29,EWZ US Equity,32.2918,32.7867,32.1268,32.3412,22215078
2014-01-30,EWZ US Equity,33.0011,33.1001,32.4567,32.6959,15457484
2014-01-31,EWZ US Equity,32.135,32.9021,32.0526,32.366,17593748
2014-02-03,EWZ US Equity,32.3825,32.4567,31.3432,31.368,21796160
2014-02-04,EWZ US Equity,32.0856,32.5557,31.966,32.3,22639595
2014-02-05,EWZ US Equity,32.3248,32.465,31.9206,32.234,21634382
2014-02-06,EWZ US Equity,32.6134,33.4383,32.564,33.2898,23199619
2014-02-07,EWZ US Equity,33.6197,33.7599,33.1661,33.5207,14152942
2014-02-10,EWZ US Equity,33.3723,33.397,32.8196,32.9846,13221739
2014-02-11,EWZ US Equity,32.8031,33.7269,32.7702,33.6115,16180372
2014-02-12,EWZ US Equity,33.529,33.6775,32.8031,33.0094,15620417
2014-02-13,EWZ US Equity,32.4732,33.4878,32.4568,33.4218,14725697
2014-02-14,EWZ US Equity,33.3145,33.8424,33.2403,33.5207,14883600
2014-02-17,EWZ US Equity,,,,,
2014-02-18,EWZ US Equity,33.0671,33.9414,32.5392,32.6052,16766056
2014-02-19,EWZ US Equity,32.2258,32.9599,32.2175,32.8114,19439360
2014-02-20,EWZ US Equity,33.1496,33.5372,32.7949,33.1743,23349497
2014-02-21,EWZ US Equity,33.463,33.8672,33.4135,33.6197,15073638
2014-02-24,EWZ US Equity,33.7269,34.0321,33.5785,33.6115,12801606
2014-02-25,EWZ US Equity,33.7022,33.7682,33.2156,33.3228,12011995
2014-02-26,EWZ US Equity,33.3723,33.5702,33.0506,33.298,12065818
2014-02-27,EWZ US Equity,33.6115,34.3951,33.5125,34.3373,27271502
2014-02-28,EWZ US Equity,33.9826,34.0486,33.496,33.8177,16881780
2014-03-03,EWZ US Equity,33.2321,33.2321,32.6134,32.9516,19219732
2014-03-04,EWZ US Equity,33.6115,33.8177,33.1619,33.463,17657277
2014-03-05,EWZ US Equity,33.4053,33.7929,33.298,33.6775,18565363
2014-03-06,EWZ US Equity,34.0651,34.4239,33.9552,34.0486,17351674
2014-03-07,EWZ US Equity,33.7558,33.7847,33.0423,33.2568,21944829
2014-03-10,EWZ US Equity,33.1661,33.1991,32.4237,32.6877,21193809
2014-03-11,EWZ US Equity,32.9599,33.1537,32.3949,32.4815,16530594
2014-03-12,EWZ US Equity,32.5227,32.8031,32.3412,32.7289,15523083
2014-03-13,EWZ US Equity,33.1248,33.1743,32.2423,32.3495,21698223
2014-03-14,EWZ US Equity,32.1845,32.6134,32.0608,32.2588,17509995
2014-03-17,EWZ US Equity,32.3742,32.6959,32.3577,32.5062,12921076
2014-03-18,EWZ US Equity,32.4485,33.397,32.4154,33.298,23865275
2014-03-19,EWZ US Equity,33.265,33.9414,33.1331,33.43,28362856
2014-03-20,EWZ US Equity,33.3558,34.3868,33.0836,34.2136,27938820
